Logger, zawisha:         	Automatically truncated logfile to 1048576
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.38600587844849
Files, zawisha:          	Total upload speed: 3.902013 mbps
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 3 outgoing messages, 1 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
Session, zawisha:        	Garbage collected 1 outgoing messages, 1 left
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.24143385887146
Files, zawisha:          	Total upload speed: 2.604473 mbps
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.21862602233887
Files, zawisha:          	Total upload speed: 2.885511 mbps
Session, zawisha:        	Garbage collected 2 incoming messages, 0 left
Session, zawisha:        	Garbage collected 4 outgoing messages, 1 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.22377395629883
Files, zawisha:          	Total upload speed: 2.147846 mbps
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 1 outgoing messages, 0 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
MsgIdHandler64, zawisha: 	Given message id (7129058429423425537) is bigger than or equal to the current limit (7129058429423418369). Please sync your date using NTP.
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.3024320602417
Files, zawisha:          	Total upload speed: 4.185931 mbps
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
Session, zawisha:        	Garbage collected 15 incoming messages, 0 left
Session, zawisha:        	Garbage collected 19 outgoing messages, 1 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
MTProto, zawisha:        	Accepted IPC callback connection, assigning ID 14!
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
UpdateHandler, zawisha:  	Parsing updates (updates) received via the socket...
SeqLoop, zawisha:        	Was fed updates of type updates...
FeedLoop, zawisha:       	Resumed update feed loop generic
Session, zawisha:        	Garbage collected 2 incoming messages, 0 left
Session, zawisha:        	Garbage collected 3 outgoing messages, 0 left
[07-Aug-2022 09:07:46 UTC] Enabled PHP logging
[07-Aug-2022 09:07:47 UTC] Enabled PHP logging
[07-Aug-2022 09:07:47 UTC] Enabled PHP logging
MTProto, zawisha:        	Accepted IPC client connection!
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.22652006149292
Files, zawisha:          	Total upload speed: 2.141479 mbps
Session, zawisha:        	Garbage collected 1 outgoing messages, 1 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.31343102455139
Files, zawisha:          	Total upload speed: 3.628204 mbps
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.28736090660095
Files, zawisha:          	Total upload speed: 4.460704 mbps
Session, zawisha:        	Garbage collected 2 incoming messages, 0 left
Session, zawisha:        	Garbage collected 4 outgoing messages, 1 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.21244597434998
Files, zawisha:          	Total upload speed: 2.876213 mbps
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.2329740524292
Files, zawisha:          	Total upload speed: 1.903593 mbps
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
Session, zawisha:        	Garbage collected 2 incoming messages, 0 left
Session, zawisha:        	Garbage collected 4 outgoing messages, 1 left
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Session, zawisha:        	Garbage collected 1 incoming messages, 0 left
Session, zawisha:        	Garbage collected 2 outgoing messages, 0 left
Session, zawisha:        	Garbage collected 1 outgoing messages, 1 left
Files, zawisha:          	Upload status: 100%
Files, zawisha:          	Total upload time: 0.32902598381042
Files, zawisha:          	Total upload speed: 3.176551 mbps
ReferenceDatabase, zawisha: 	Trying to add reference out of context, report the following message to @danogentili!
ReferenceDatabase, zawisha: 	null
Session, zawisha:        	Garbage collected 2 incoming messages, 0 left
